877.7143,2072,100,100
752,2082.6667,100,100
607.1111,2056.8889,100,200
584,1888,100,200
572,1588,100,200
572,1192,100,200
564,804,100,200
560,432,100,200
610.8571,305.7143,100,100
678.2857,230.2857,100,100
766.5455,172,100,100
920,150,100,100
1012,164,100,100
1092,180,100,100
1171.2,198.4,100,100
1260,220,100,100
1345.3333,244,100,100
1430.8571,269.7143,100,100
1512,298.2857,100,100
1598,328,100,100
1674.2857,357.7143,100,100
1766,396,100,100
1842.2857,429.7143,100,100
1920,465.7778,100,100
1990,502,100,100
2074.6667,543.4667,100,100
2146.5,579.5,100,100
2216.5714,620.5714,100,100
2292.3077,670.1538,100,100
2360.7273,712.7273,100,100
2433.8462,760.6154,100,100
2503.5,820.5,100,100
2531.5556,915.5556,100,200
2539.4286,1232,100,200
2546.1333,1747.7333,100,200
2558.8571,2222.8571,100,200
2557.7143,2582.8571,100,200
2550,2815.3333,100,200
2500.2105,2876.2105,100,100
2388,2896,100,100
2294,2894,100,100
2160,2900,200,100
1867,2882.5,200,100
1788.3636,2845.8182,100,100
1708.4444,2772.4444,100,100
1669.6471,2704.4706,100,100
1627.4286,2625.1429,100,100
1580.9231,2551.3846,100,100
1522.1818,2473.4545,100,100
1448,2392,100,100
1333.5385,2277.5385,100,100
1256,2214.2222,100,100
1180.9231,2161.8462,100,100
1098.5,2119,100,100
1032,2092.4444,100,100
968,2080,100,100
