766.5455,172.0000
678.2857,230.2857
610.8571,305.7143
576.0000,376.0000
560.0000,432.0000
559.1111,736.8889
565.5385,1153.2308
572.0000,1192.0000
574.6667,1505.3333
572.0000,1588.0000
584.0000,1888.0000
607.1111,2056.8889
752.0000,2082.6667
877.7143,2072.0000
564.0000,804.0000
920.0000,150.0000
1012.0000,164.0000
1092.0000,180.0000
1171.2000,198.4000
1260.0000,220.0000
1345.3333,244.0000
1430.8571,269.7143
1512.0000,298.2857
1598.0000,328.0000
1674.2857,357.7143
1766.0000,396.0000
1842.2857,429.7143
1920.0000,465.7778
1990.0000,502.0000
2074.6667,543.4667
2146.5000,579.5000
2216.5714,620.5714
2292.3077,670.1538
2360.7273,712.7273
2433.8462,760.6154
2503.5000,820.5000
2531.5556,915.5556
2539.4286,1232.0000
2546.1333,1747.7333
2558.8571,2222.8571
2557.7143,2582.8571
2550.0000,2815.3333
2500.2105,2876.2105
2294.0000,2894.0000
1867.0000,2882.5000
1788.3636,2845.8182
1708.4444,2772.4444
1669.6471,2704.4706
1627.4286,2625.1429
1580.9231,2551.3846
1522.1818,2473.4545
1480.0000,2418.6667
1333.5385,2277.5385
1256.0000,2214.2222
1180.9231,2161.8462
1098.5000,2119.0000
1032.0000,2092.4444
968.0000,2080.0000
1448.0000,2392.0000
2160.0000,2900.0000
2388.0000,2896.0000
2562.6667,2352.0000
2555.4286,2122.2857
2554.6667,2026.6667
2556.8000,1977.6000
2562.2857,1874.2857
2551.1111,1637.3333
2546.6667,1576.0000
2552.6667,1349.3333
2541.3333,1097.7778
